"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9I3YIPTM","journalArticle","2016","Erden, Caner; Kökçam, Abdullah Hulusi; Demir, Halil Ibrahim","A Two-Phase Modeling with Genetic Algorithm for Solving Exam-Invigilator Timetabling Problem","International Journal of Engineering and Technology Research","","2564-6184","","http://dergipark.gov.tr/ijente/issue/27217/363145","In this study, Genetic Algorithm method is effectively applied to find a solution for exam-invigilator timetabling problem (ETP) categorized as NP-Complete. Problem consists of two phases starting from assignment of the courses to the appropriate time slots and rooms. After that invigilators are assigned to the exams. Objective of the study is to find a solution which does not have overlaps in exams nor invigilators, while invigilators requests are satisfied as much as possible. Genetic Algorithms are widely used in many areas such as optimization, design, control, scheduling, and artificial intelligence with their great robustness. Factual data from a public university in Turkey is utilized in this case study. According to results, proposed genetic algorithm model has shown a good performance in terms of assigning invigilators to the time slots by fulfilling constraints.","2016","2018-11-05 07:06:53","2020-05-07 11:23:49","","13–22","","1","1","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","Diğer","","","","C:\Users\Erden\Zotero\storage\RW78YLKX\Erden et al. - 2016 - A Two-Phase Modeling with Genetic Algorithm for So.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YXAPVQX","journalArticle","2019","Demir, Halil Ibrahim; Erden, Caner; Kökçam, Abdullah Hulusi; Uygun, Ozer","Concurrent Solution of WATC Scheduling with WPPW Due Date Assignment for Environmentally Weighted Customers, Jobs and Services Using SA and its Hybrid","Periodicals of Engineering and Natural Sciences (PEN)","","","http://dx.doi.org/10.21533/pen.v6i2.186","","","2019","2019-06-17 10:47:08","2022-08-14 03:11:58","","192–200","","2","6","","","","","","","","","","","All rights reserved","","","","Scopus","","Scopus","","G:\Drive'ım\Zotero_Attachments\demir_et_al_2019_concurrent_solution_of_watc_scheduling.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEJV9MZU","journalArticle","2016","Erden, Caner; Nazarov, Muhammed","İplik Sürtünme Özelliklerinin İncelemesinde Kaba Kümeler Yaklaşımı","Erzincan University Journal of Science and Technology","","2149-4584","10.18185/eufbed.99908","http://dergipark.gov.tr/doi/10.18185/eufbed.99908","This paper was intended to analyze the frictional properties of yarns using Rough sets theory. Ten examples are investigated in this paper. The data used in this study are real data. The frictional properties (μ) of yarn samples determined in respect of four features of yarn. These features are; yarn count, raw material, twist level and production technology. One decision variable and four attributes are used as information system. ROSE2 (Rough Sets Data Explorer) software implemented to the data set to analyze the frictional properties of yarns. As a conclusion, we concluded that raw material has the leading impact on frictional properties of yarn.","2016","2018-11-05 07:06:54","2023-01-26 03:37:28","","75–86","","1","9","","Erzincan Univ J Sci Tech","","","","","","","","tr","CC0 1.0 Universal Public Domain Dedication","","","","TR-Dizin","","TR-Dizin","","G:\Drive'ım\Zotero_Attachments\erden_nazarov_2016_rough_sets_approach_in_analysis_of_yarn.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPQ5HIDJ","journalArticle","2018","Erden, Caner; Demir, Halil İbrahim; Göksu, Alper; Uygun, Özer","Solving Process Planning, ATC Scheduling and Due-date Assignment Problems Concurrently Using Genetic Algorithm for Weighted Customers","Academic Platform-Journal of Engineering and Science","","2147-4575","10.21541/apjes.318451","http://dergipark.gov.tr/doi/10.21541/apjes.318451","Traditionally process planning, scheduling and due-date assignment functions are applied sequentially and separately. Since these three functions effect each other and if we don't integrate then they will become poor input for downstream and global performance will be poor. In these competitive era we have to be competitive also. Integrating these functions will improve global performance. In this study we investigated the benefit of integration. We tested different integration level. First we looked at unintegrated results and later we integrated due-date assignment with process planning and finally we integrated these two functions with ATC (Apparent Tardiness Cost) Dispatching. In this study we observed that as integration level increases the solution becomes better. Integrating due-date assignment with process planning improves global performance and if we integrate ATC dispatching with these two functions then we get the best performance. In addition to integration level we also compared benefit of search techniques, especially genetic (directed) search. We compared ordinary solutions (initial populations) with results of random search and genetic search (after some certain number of iterations). We tested three shop floors which are small, medium and large shop floor. We observed that search is always better than ordinary solutions and genetic search outperformed random (undirected) search. At this study every customer has weight and they are scheduled by considering weights to improve performance value.","2018","2018-11-05 07:06:34","2020-05-07 11:17:44","","87–96","","1","6","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","TR-Dizin","","","","G:\Drive'ım\Zotero_Attachments\erden_et_al_2018_solving_process_planning,_atc2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GQAFHEC","journalArticle","2015","Erden, Caner; Ceviz, Emre","Growth rate factor analysis of Turkey using Grey system theory","Sakarya University Journal of Science","","2147-835X","10.16984/saufenbilder.221177","http://dergipark.gov.tr/doi/10.16984/saufenbilder.75926","In this study, by using Grey System Theory (GST), factors of Gross Domestic Product (GDP) growth rate is analyzed. Macro-economic and financial data in the 2000s is used to evaluate the economic growth of Turkey. GST which can be used with little or inadequate amount of data, was preferred in the analysis. Although discovered in 1982, GST increases the amount of usage and publication especially after the 2000s. The gray system theory in the study focused on the impact on economic analysis. At the end of the study of macro-economic and financial data using gray relation analysis has identified and ranked according to the degree of impact on the relationship between them.","2015","2018-11-05 07:06:55","2020-05-07 11:17:27","","361–369","","3","19","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","TR-Dizin","","","","G:\Drive'ım\Zotero_Attachments\erden_ceviz_2015_growth_rate_factor_analysis_of_turkey.pdf","","grey relational analysis; grey system theory; growth rate factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPQEZJSG","journalArticle","2018","Demir, Halil İbrahim; Canpolat, Onur; Erden, Caner; Şimşir, Fuat","Process Planning and Scheduling with WNOPPT Weighted Due-Date Assignment where Earliness , Tardiness and Due- Dates are Penalized","Journal of Intelligent Systems: Theory and Applications","","","https://doi.org/10.38016/jista.433085","http://www.jista.info/download/article-file/518698","Process planning, scheduling and due date assignment are three important manufacturing functions in production system in which process planning is input to scheduling processes. Because of rigid process plans, alternative plans are not used that may affect global performance improvement in a bad way. Besides, scheduling without considering process plans causes unbalanced machine loadings and leads to several bottlenecks. In the literature, there are numerous works on process planning and scheduling and works on scheduling with due date assignment. These three functions are not integrated much. According to literature, due dates are assigned without considering weights of the customer. In this study, these three functions are integrated and due dates are given according to the importance of the customers. Eight shop floors are studied. Different levels of integration of these three functions are tested and compared with each other. Two search techniques used which are genetic search and random search and results are compared with ordinary solutions. As the level of integration increased solutions became better and search techniques gave a better result than ordinary solutions and the genetic search outperformed random search.","2018","2018-11-05 07:06:33","2020-07-01 09:26:46","","16–25","","1","1","","","","","","","","","","","CC0 1.0 Universal Public Domain Dedication","","","","Diğer","","","","G:\Drive'ım\Zotero_Attachments\demir_et_al_2018_process_planning_and_scheduling_with.pdf","","process planning; random search; weighted due-date assignment; weighted scheduling; genetic algorithms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KG2A76U4","journalArticle","2021","Demi̇r, Halil İbrahim; Erden, Caner; Kökçam, Abdullah; Göksu, Alper","A Tabu Search and Hybrid Evolutionary Strategies Algorithms for the Integrated Process Planning and Scheduling with Due-date Agreement","Journal of Intelligent Systems: Theory and Applications","","","10.38016/jista.767154","https://dergipark.org.tr/tr/pub/jista/767154","İmalatın, süreç planlama, çizelgeleme ve teslim tarihinin belirlenmesi olmak üzere üç önemli fonksiyonu bulunmaktadır. Bu fonksiyonları ayrı ayrı gerçekleştirmek yerine, üçünü birlikte değerlendirmek daha gerçekçi ve uygulanabilir planların hazırlanmasına yardımcı olacaktır. Bu problemin çözümünde rassal arama, kısmi tabu, rassal arama/kısmi tabu hibriti, evrimsel stratejiler ve rassal arama/evrimsel stratejiler hibriti yöntemleri kullanılmıştır. Yöntemlerin performansını değerlendirmek amacıyla farklı büyüklükteki atölyeler üzerinde çalışılmıştır. Çalışma sonucunda ayrık çözümler ile entegre çözümler arasındaki farklar ortaya çıkmıştır. Bu fonksiyonların entegrasyonunun toplam performans açısından ve dolayısıyla müşteri memnuniyeti açısından avantajlı olduğu bulunmuştur. Rassal aramanın sıradan çözümlerden daha iyi olduğu görülmüştür. Öte yandan, kısmi tabu, evrimsel stratejiler ve bunların melezleri rassal aramadan daha iyi performans göstermektedir. Hibrit arama yöntemlerinin gelecek vadettiği görülmüştür.","2021-03-24","2021-06-17 12:23:11","2022-08-14 03:11:48","2021-06-17 12:23:11","24-36","","1","4","","","","","","","","","","en","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License (CC-BY-NC-ND)","","","","dergipark.org.tr","","TR-Dizin","","G:\Drive'ım\Zotero_Attachments\demi̇r_et_al_2021_a_tabu_search_and_hybrid_evolutionary.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTKUEZ33","journalArticle","2021","Demi̇r, Halil İbrahim; Phanden, Rakesh Kumar; Kökçam, Abdullah; Erkayman, Burak; Erden, Caner","Hybrid Evolutionary Strategy and Simulated Annealing Algorithms for Integrated Process Planning, Scheduling and Due-Date Assignment Problem","Academic Platform Journal of Engineering and Science","","","10.21541/apjes.764150","https://dergipark.org.tr/tr/pub/apjes/764150","Bütünleşik süreç planlama ve çizelgeleme (IPPS) problemi ile teslim tarihi belirleme ile çizelgeleme (SWDDA) problemlerinin literatürde kapsamlı olarak kapsamlı olarak çalışılmasına rağmen, süreç planlama, çizelgeleme ve teslim tarihi belirleme fonksiyonlarının bütünleşik çalışılması ile alakalı yalnızca birkaç çalışma vardır. Bütünleşik çalışmalar ile daha iyi bir küresel performans sağlandığından, bu üretim fonksiyonlarının birlikte çalıştırılması önem arz etmektedir. Bu çalışmada, süreç planlama ve en kısa teslim tarihine sahip işlerin önceliklendirildiği (EDD) çizelgeleme kuralı ile teslim tarihi belirleme fonksiyonlarının entegrasyonu, hibrit evrimsel stratejiler (RS/ES) ve hibrit tavlama benzetimi algoritmaları (RS/SA) kullanılarak incelenmiştir. Sıradan çözümler (OS), rasgele arama (RS) çözümleri, evrimsel strateji (ES) çözümleri ve tavlama benzetimi (SA) çözümleri birbirleriyle ve ES ve SA hibrit çözümleri de aralarında karşılaştırılmıştır. Elde edilen sonuçlara göre, daha yüksek bütünleşik çalışmaların daha iyi olduğu ve en iyi sonuçların en yüksek entegrasyon düzeyinde gerçekleştiği tespit edilmiştir. ES ve SA yöntemleri RS ve OS ile karşılaştırıldığında daha iyi sonuçlar vermiştir. Çalışma sonucunda RS/ES ve RS/SA tekniklerinin bütünleşik çalışmalar için kullabılabilir algoritmalar olduğu belirtilmiştir.","2021-01-29","2021-06-17 12:23:51","2022-08-14 03:11:39","2021-06-17 12:23:51","86-91","","1","9","","","","","","","","","","en","Creative Commons Attribution-ShareAlike 4.0 International License (CC-BY-SA)","","","","dergipark.org.tr","","TR-Dizin","","G:\Drive'ım\Zotero_Attachments\demi̇r_et_al_2021_hybrid_evolutionary_strategy_and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHKQFZ32","journalArticle","2023","Erden, Caner; Demir, Halil Ibrahim; Canpolat, Onur","A modified integer and categorical PSO algorithm for solving integrated process planning, dynamic scheduling and due date assignment problem","Scientia Iranica","","2345-3605","10.24200/sci.2021.55250.4130","http://scientiairanica.sharif.edu/article_22245.html","","2023","2021-09-03 11:20:42","2023-01-18 16:05:53","2021-09-03 11:20:42","0-0","","0","0","","Scientia Iranica","","","","","","","","en","All rights reserved","","","","DOI.org (Crossref)","","SCI-Q4","","G:\Drive'ım\Zotero_Attachments\erden_et_al_2023_a_modified_integer_and_categorical_pso.pdf; C:\Users\Erden\Zotero\storage\73JSYWUH\Screenshot 2023-01-18 at 19-05-09 Journal Citation Reports - Journal Profile.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7BDILV8","journalArticle","2020","Demir, Halil Ibrahim; Erden, Caner","Dynamic integrated process planning, scheduling and due-date assignment using ant colony optimization","Computers & Industrial Engineering","","03608352","10.1016/j.cie.2020.106799","https://linkinghub.elsevier.com/retrieve/pii/S0360835220305064","This paper presents two well-known meta-heuristics which are Genetic Algorithm (GA) and Ant Colony Optimization Algorithm (ACO) to solve the dynamic integrated process planning, scheduling and due date assignment problem (DIPPSDDA) in which jobs arrive to the shop floor randomly. In this study, it is aimed to find the best combination of dispatching rule, due date assignment rule and route of all job with the objective of minimizing earliness, tardiness and due-dates of each jobs. 8 different size shop floors for the comparison of the GA and ACO algorithms performances have been developed. As a result of the experimental study, it was concluded that ACO algorithm outperformed GA algorithm. In addition, it has been suggested that integrated approaches can provide more global manufacturing efficiency than individual approaches.","2020-11","2022-02-10 08:10:04","2023-01-18 16:03:26","2022-02-10 08:10:03","106799","","","149","","Computers & Industrial Engineering","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","SCI-Q1","","G:\Drive'ım\Zotero_Attachments\demir_erden_2020_dynamic_integrated_process_planning,.pdf; C:\Users\Erden\Zotero\storage\ZHIWDKWF\Screenshot 2023-01-18 at 19-02-49 Journal Citation Reports - Journal Profile.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
